"PCS","Test","ProvingUs","ProofBytes","VerifyUs","ParVerifyUs","RunIndex"
"Lattice","gkr_correctness_lattice","330199","440793","66861","46823","0"
"Raw","gkr_correctness_raw","272426","224844","57523","34484","0"
"Lattice","gkr_correctness_lattice","327365","440793","74254","49445","1"
"Raw","gkr_correctness_raw","266949","224844","60903","39898","1"
"Lattice","gkr_correctness_lattice","312936","440793","64541","49357","2"
"Raw","gkr_correctness_raw","263265","224844","66851","60839","2"
"Lattice","gkr_correctness_lattice","332696","440793","68455","53156","3"
"Raw","gkr_correctness_raw","380284","224844","59113","33079","3"
"Lattice","gkr_correctness_lattice","327465","440793","65889","43627","4"
"Raw","gkr_correctness_raw","285710","224844","58079","36971","4"
